playerID,playerName,teamID,teamName,startYear,endYear,position
41,Anthony Rizzo,CHC,Chicago Cubs,2012,2021,1B
41,Anthony Rizzo,NYY,New York Yankees,2021,Present,1B
41,Chris Sale,CHW,Chicago White Sox,2010,2016,SP
41,Chris Sale,BOS,Boston Red Sox,2017,2023,SP
41,Chris Sale,ATL,Atlanta Braves,2024,Present,SP
42,Aaron Nola,PHI,Philadelphia Phillies,2015,Present,SP
43,Matt Chapman,OAK,Oakland Athletics,2017,2021,3B
44,Matt Chapman,TOR,Toronto Blue Jays,2022,2023,3B
44,Matt Chapman,SFG,San Francisco Giants,2024,Present,3B
45,Dylan Cease,CHW,Chicago White Sox,2019,2023,SP
45,Dylan Cease,SDP,San Diego Padres,2024,Present,SP
46,Jack Flaherty,STL,St. Louis Cardinals,2017,2023,SP
46,Jack Flaherty,BAL,Baltimore Orioles,2023,2023,SP
46,Jack Flaherty,DET,Detroit Tigers,2024,2024,SP
46,Jack Flaherty,LAD,Los Angeles Dodgers,2024,Present,SP
47,Seth Lugo,NYM,New York Mets,2016,2022,SP
47,Seth Lugo,SDP,San Diego Padres,2023,2023,SP
47,Seth Lugo,KCR,Kansas City Royals,2024,Present,SP
48,Marcell Ozuna,MIA,Miami Marlins,2013,2017,OF
48,Marcell Ozuna,STL,St. Louis Cardinals,2018,2019,OF
48,Marcell Ozuna,ATL,Atlanta Braves,2020,Present,OF/DH
49,Luis Arraez,MIN,Minnesota Twins,2019,2022,1B/2B/SS/OF
49,Luis Arraez,MIA,Miami Marlins,2023,2024,2B
49,Luis Arraez,SDP,San Diego Padres,2024,Present,1B/2B
50,Josh Hader,MIL,Milwaukee Brewers,2017,2022,RP
50,Josh Hader,SDP,San Diego Padres,2023,2024,RP
50,Josh Hader,HOU,Houston Astros,2024,Present,RP
51,Jose Abreu,CHW,Chicago White Sox,2014,2022,1B
51,Jose Abreu,HOU,Houston Astros,2023,Present,1B
52,Kevin Gausman,BAL,Baltimore Orioles,2013,2018,SP
52,Kevin Gausman,ATL,Atlanta Braves,2018,2019,SP
52,Kevin Gausman,CIN,Cincinnati Reds,2019,2019,SP
52,Kevin Gausman,SFG,San Francisco Giants,2020,2021,SP
52,Kevin Gausman,TOR,Toronto Blue Jays,2022,Present,SP
53,Chris Bassitt,CHW,Chicago White Sox,2014,2014,SP
54,Chris Bassitt,OAK,Oakland Athletics,2015,2021,SP
54,Chris Bassitt,NYM,New York Mets,2022,2022,SP
54,Chris Bassitt,TOR,Toronto Blue Jays,2023,Present,SP
55,Pablo Lopez,MIA,Miami Marlins,2018,2022,SP
55,Pablo Lopez,MIN,Minnesota Twins,2023,Present,SP
56,Sonny Gray,OAK,Oakland Athletics,2013,2017,SP
56,Sonny Gray,NYY,New York Yankees,2017,2018,SP
56,Sonny Gray,CIN,Cincinnati Reds,2019,2021,SP
56,Sonny Gray,MIN,Minnesota Twins,2022,2023,SP
56,Sonny Gray,STL,St. Louis Cardinals,2024,Present,SP
57,Kyle Schwarber,CHC,Chicago Cubs,2015,2020,OF
57,Kyle Schwarber,BOS,Boston Red Sox,2021,2021,OF
57,Kyle Schwarber,WSN,Washington Nationals,2021,2021,OF
57,Kyle Schwarber,PHI,Philadelphia Phillies,2022,Present,OF/DH
58,Nick Castellanos,DET,Detroit Tigers,2013,2019,3B/OF
58,Nick Castellanos,CHC,Chicago Cubs,2019,2019,OF
58,Nick Castellanos,CIN,Cincinnati Reds,2020,2021,OF
58,Nick Castellanos,PHI,Philadelphia Phillies,2022,Present,OF
59,Carlos Correa,HOU,Houston Astros,2015,2021,SS
59,Carlos Correa,MIN,Minnesota Twins,2022,Present,SS
60,George Springer,HOU,Houston Astros,2014,2020,OF
60,George Springer,TOR,Toronto Blue Jays,2021,Present,OF
61,Vladimir Guerrero Jr.,TOR,Toronto Blue Jays,2019,Present,1B/3B
62,Ronald Acuna Jr.,ATL,Atlanta Braves,2018,Present,OF
63,Paul Goldschmidt,ARI,Arizona Diamondbacks,2011,2018,1B
63,Paul Goldschmidt,STL,St. Louis Cardinals,2019,Present,1B
64,Aroldis Chapman,CIN,Cincinnati Reds,2010,2015,RP
64,Aroldis Chapman,CHC,Chicago Cubs,2016,2016,RP
64,Aroldis Chapman,NYY,New York Yankees,2016,2022,RP
64,Aroldis Chapman,KCR,Kansas City Royals,2023,2023,RP
64,Aroldis Chapman,TEX,Texas Rangers,2023,2024,RP
64,Aroldis Chapman,PIT,Pittsburgh,2024,Present,RP
65,Andrew McCutchen,PIT,Pittsburgh Pirates,2009,2017,OF
65,Andrew McCutchen,SFG,San Francisco Giants,2018,2018,OF
65,Andrew McCutchen,NYY,New York Yankees,2018,2018,OF
65,Andrew McCutchen,PHI,Philadelphia Phillies,2019,2021,OF
65,Andrew McCutchen,MIL,Milwaukee Brewers,2022,2022,OF/DH
65,Andrew McCutchen,PIT,Pittscburgh Pirates,2023,Present,DH
66,Marcus Stroman,TOR,Toronto Blue Jays,2014,2019,SP
66,Marcus Stroman,NYM,New York Mets,2019,2021,SP
66,Marcus Stroman,CHC,Chicago Cubs,2022,2023,SP
66,Marcus Stroman,NYY,New York Yankees,2024,Present,SP
67,Sean Manaea,OAK,Oakland Athletics,2016,2021,SP
67,Sean Manaea,SDP,San Diego Padres,2022,2022,SP
67,Sean Manaea,SFG,San Francisco Giants,2023,2023,SP
67,Sean Manaea,NYM,New York Mets,2024,Present,SP
68,J.D. Martinez,HOU,Houston Astros,2011,2013,OF
68,J.D. Martinez,DET,Detrout Tigers,2014,2017,OF
68,J.D. Martinez,ARI,Arizona Diamondbacks,2017,2017,OF
68,J.D. Martinez,BOS,Boston Red Sox,2018,2022,OF/DH
68,J.D. Martinez,LAD,Los Angeles Dodgers,2023,2023,DH
68,J.D. Martinez,NYM,New York Mets,2024,Present,DH
69,Xander Bogaerts,BOS,Boston Red Sox,2013,2022,SS
69,Xander Bogaerts,SDP,San Diego Padres,2023,Present,2B/SS
70,Javier Baez,CHC,Chicago Cubs,2014,2021,2B/3B/SS
70,Javier Baez,NYM,New York Mets,2021,2021,2B/SS
70,Javier Baez,DET,Detroit Tigers,2022,Present,SS
71,Craig Kimbrel,ATL,Atlanta Braves,2010,2014,RP
71,Craig Kimbrel,SDP,San Diego Padres,2015,2015,RP
71,Craig Kimbrel,BOS,Boston Red Sox,2016,2018,RP
71,Craig Kimbrel,CHC,Chicago Cubs,2019,2021,RP
71,Craig Kimbrel,CHW,Chicago White Sox,2021,2021,RP
71,Craig Kimbrel,LAD,Los Angeles Dodgers,2022,2022,RP
71,Craig Kimbrel,PHi,Philadelphia Phillies,2023,2023,RP
71,Craig Kimbrel,BAL,Baltimore Orioles,2024,Present,RP
72,Kenley Jansen,LAD,Los Angeles Dodgers,2010,2021,RP
